Sample_ID,Date,Latitude,Longitude,Density_Score,Sampling_Method,Ocean,Marine_Setting,Concentration_Class,Velocity_E,Velocity_N,Velocity_E_Norm,Velocity_N_Norm,Day_Sin,Day_Cos,Lunar_Phase,Sampling_Method_Day grab,Sampling_Method_Hand picking,Sampling_Method_Manta net,Sampling_Method_Neuston net,Marine_Setting_Beach-Nurdle Patrol,Marine_Setting_Ocean sediment,Marine_Setting_Ocean water,CMEMS_U,CMEMS_V,Node_Cluster_ID
21038,2022-04-28,29.2812,-94.8007,16.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.21753818,0.090332866,-0.9945131,0.45201555,0.8964562582905575,-0.44313223418263453,0.5393775801678716,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,22
21042,2022-04-29,29.3294,-94.7301,5.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.0045060036,0.047357067,-0.026700893,0.22996826,0.8887010478292915,-0.45848712914008766,0.3493985053293877,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.01342814415693283,-0.02929776906967163,17
21043,2022-04-29,29.29,-94.7862,19.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.16631362,-0.0304563,-0.7617982,-0.1720777,0.8887010478292915,-0.45848712914008766,0.3493985053293877,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.06591998040676117,-0.020142216235399246,11
21044,2022-04-29,29.2569,-94.8429,4.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.16631362,-0.0304563,-0.7617982,-0.1720777,0.8887010478292915,-0.45848712914008766,0.3493985053293877,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,30
21047,2022-05-01,29.1826,-94.9706,2.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.17097259,-0.25689468,-0.78296405,-1.3420391,0.8724040568049612,-0.48878539428899265,-0.0685545200926146,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.09582811966538429,-0.0952177494764328,39
21048,2022-04-28,29.2736,-94.8125,1.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Low,-0.24876885,0.086223766,-1.1363951,0.43078467,0.8964562582905575,-0.44313223418263453,0.5393775801678716,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,34
21052,2022-05-01,29.2713,-94.8185,0.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Very Low,-0.13238165,-0.22491856,-0.60764414,-1.176825,0.8724040568049612,-0.48878539428899265,-0.0685545200926146,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,34
21053,2022-05-01,29.271,-94.8178,0.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Very Low,-0.13238165,-0.22491856,-0.60764414,-1.176825,0.8724040568049612,-0.48878539428899265,-0.0685545200926146,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,34
21074,2022-05-02,29.2209,-94.906,2.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,0.005276022,-0.07925072,0.017739171,-0.42418867,0.8638670987837349,-0.503719798736334,-0.2776787921098139,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,29
21075,2022-05-02,29.1824,-94.9706,1.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Low,-0.120360106,-0.025954993,-0.5530299,-0.14882037,0.8638670987837349,-0.503719798736334,-0.2776787921098139,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.10620441287755966,-0.07690664380788803,39
