Sample_ID,Date,Latitude,Longitude,Density_Score,Sampling_Method,Ocean,Marine_Setting,Concentration_Class,Velocity_E,Velocity_N,Velocity_E_Norm,Velocity_N_Norm,Day_Sin,Day_Cos,Lunar_Phase,Sampling_Method_Day grab,Sampling_Method_Hand picking,Sampling_Method_Manta net,Sampling_Method_Neuston net,Marine_Setting_Beach-Nurdle Patrol,Marine_Setting_Ocean sediment,Marine_Setting_Ocean water,Node_Cluster_ID
14360,2021-01-15,58.4715,-6.685167,0.156827,Neuston net,Atlantic Ocean,Ocean water,Medium,0.07284369,0.18693015,0.3247013,0.9511143,0.2551824131233728,0.9668929289391521,-0.37603596885469,0.0,0.0,0.0,1.0,0.0,0.0,1.0,42
14361,2021-01-15,58.579167,-6.222833,0.030151,Neuston net,Atlantic Ocean,Ocean water,Medium,0.07284369,0.18693015,0.3247013,0.9511143,0.2551824131233728,0.9668929289391521,-0.37603596885469,0.0,0.0,0.0,1.0,0.0,0.0,1.0,12
14834,2021-02-25,52.21253,-12.49151,16.8,Day grab,Atlantic Ocean,Ocean sediment,Low,0.08722017,-0.12560046,0.39001414,-0.6636684,0.8211001178128892,0.5707841943569036,-0.31052627435345226,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2
14835,2021-02-27,52.5205,-13.4998,30.6,Day grab,Atlantic Ocean,Ocean sediment,Medium,-0.051590618,-0.025071513,-0.24060784,-0.1442556,0.8402480696078469,0.5422021592729844,0.10957034093503049,1.0,0.0,0.0,0.0,0.0,1.0,0.0,15
19131,2021-02-23,43.1014,-124.4329,214.0,Hand picking,Pacific Ocean,Beach-Nurdle Patrol,Very High,-0.091039315,-0.18087286,-0.41982457,-0.94924974,0.8009803309782905,0.5986906625177214,-0.6752355716624926,0.0,1.0,0.0,0.0,1.0,0.0,0.0,73
19155,2021-02-27,43.0689,-124.4373,23.0,Hand picking,Pacific Ocean,Beach-Nurdle Patrol,Medium,-0.3575457,-0.20838189,-1.6305718,-1.0913833,0.8402480696078469,0.5422021592729844,0.10957034093503049,0.0,1.0,0.0,0.0,1.0,0.0,0.0,76
19156,2021-02-27,43.2508,-124.3876,101.0,Hand picking,Pacific Ocean,Beach-Nurdle Patrol,High,-0.3575457,-0.20838189,-1.6305718,-1.0913833,0.8402480696078469,0.5422021592729844,0.10957034093503049,0.0,1.0,0.0,0.0,1.0,0.0,0.0,47
19157,2021-02-25,45.726,-123.9431,45.0,Hand picking,Pacific Ocean,Beach-Nurdle Patrol,High,0.027264532,0.07665492,0.11763369,0.38134435,0.8211001178128892,0.5707841943569036,-0.31052627435345226,0.0,1.0,0.0,0.0,1.0,0.0,0.0,70
19158,2021-02-25,45.7203,-123.9419,37.0,Hand picking,Pacific Ocean,Beach-Nurdle Patrol,Medium,0.027264532,0.07665492,0.11763369,0.38134435,0.8211001178128892,0.5707841943569036,-0.31052627435345226,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
19169,2021-02-25,45.6888,-123.9398,7.0,Hand picking,Pacific Ocean,Beach-Nurdle Patrol,Medium,0.09380354,0.39360407,0.4199226,2.018957,0.8211001178128892,0.5707841943569036,-0.31052627435345226,0.0,1.0,0.0,0.0,1.0,0.0,0.0,51
