Sample_ID,Date,Latitude,Longitude,Density_Score,Sampling_Method,Ocean,Marine_Setting,Concentration_Class,Velocity_E,Velocity_N,Velocity_E_Norm,Velocity_N_Norm,Day_Sin,Day_Cos,Lunar_Phase,Sampling_Method_Day grab,Sampling_Method_Hand picking,Sampling_Method_Manta net,Sampling_Method_Neuston net,Sampling_Method_plankton net,Sampling_Method_shovel,Marine_Setting_Beach-Nurdle Patrol,Marine_Setting_Ocean sediment,Marine_Setting_Ocean water,CMEMS_U,CMEMS_V,Node_Cluster_ID
13787,2021-09-13,40.731,8.047833,0.331779,Manta net,Atlantic Ocean,Ocean water,Medium,-0.050256573,-0.027507473,-0.23454723,-0.15684171,-0.9527692922168511,-0.30369503751065885,-0.9849853803641128,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.010986663401126862,-0.05005035549402237,38
13802,2021-09-23,37.098667,15.329833,0.124809,Manta net,Atlantic Ocean,Ocean water,Medium,0.15893115,-0.009223719,0.71579945,-0.062373243,-0.9906923101615609,-0.13612033862266704,0.37406063376349147,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.025025177747011185,-0.04577776417136192,117
13803,2021-09-24,37.991333,15.4615,0.046479,Manta net,Atlantic Ocean,Ocean water,Medium,0.18055452,-0.1576707,0.8140352,-0.8293689,-0.9928872135356962,-0.11905873003404988,0.5614627165177212,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.04516739398241043,-0.08545182645320892,105
13804,2021-09-24,38.336833,15.521667,0.627129,Manta net,Atlantic Ocean,Ocean water,Medium,0.18055452,-0.1576707,0.8140352,-0.8293689,-0.9928872135356962,-0.11905873003404988,0.5614627165177212,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01892147585749626,0.022583696991205215,105
13805,2021-09-24,38.385167,15.223667,0.347309,Manta net,Atlantic Ocean,Ocean water,Medium,0.18055452,-0.1576707,0.8140352,-0.8293689,-0.9928872135356962,-0.11905873003404988,0.5614627165177212,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07507553324103355,-0.0048829615116119385,70
13806,2021-09-25,38.439667,14.925667,0.07108,Manta net,Atlantic Ocean,Ocean water,Medium,0.1522448,-0.34922427,0.6854232,-1.8190875,-0.994788305609327,-0.10196189005174576,0.7235428346261753,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.022583696991205215,-0.0048829615116119385,108
13813,2021-10-02,41.869167,7.723333,0.436909,Manta net,Atlantic Ocean,Ocean water,Medium,-0.03733962,-0.10109559,-0.1758651,-0.5370567,-0.999832969770105,0.018276557681691223,0.7468354812400682,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.03357036039233208,-0.02624591812491417,56
13814,2021-10-02,41.989333,7.451333,0.666638,Manta net,Atlantic Ocean,Ocean water,Medium,-0.03733962,-0.10109559,-0.1758651,-0.5370567,-0.999832969770105,0.018276557681691223,0.7468354812400682,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.004272591322660446,0.011597033590078354,99
13834,2021-05-27,28.615167,-72.5195,1.277268,Manta net,Atlantic Ocean,Ocean water,High,-0.0053873495,-0.09495973,-0.030704876,-0.5053539,0.5751899607119775,-0.8180198708443174,0.19538435698596257,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.39124729111790657,0.13122959062457085,87
13835,2021-05-27,29.048667,-72.560167,0.225055,Manta net,Atlantic Ocean,Ocean water,Medium,-0.0053873495,-0.09495973,-0.030704876,-0.5053539,0.5751899607119775,-0.8180198708443174,0.19538435698596257,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.28138065710663795,0.11413922533392906,16
13836,2021-05-28,30.129333,-72.641167,1.093829,Manta net,Atlantic Ocean,Ocean water,High,-0.3875669,-0.034447588,-1.7669591,-0.1926999,0.5610336262283677,-0.8277930117131022,0.39807553964149395,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.05493331700563431,0.19714957103133202,62
13845,2021-05-29,38.337167,-28.489333,0.535475,Manta net,Atlantic Ocean,Ocean water,Medium,0.00031470973,-0.28089494,-0.0048002335,-1.4660436,0.5467112728685939,-0.8373211953118121,0.5828135182024275,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0872829370200634,-0.015259254723787308,15
13847,2021-06-26,53.974833,-41.6575,0.030401,Manta net,Atlantic Ocean,Ocean water,Medium,0.11216364,0.015464826,0.50333315,0.06518749,0.0966127018812031,-0.9953220513156602,0.29219873202182445,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.040894802659749985,-0.043336283415555954,275
13854,2021-09-07,52.125667,-39.173667,0.03114,Manta net,Atlantic Ocean,Ocean water,Medium,0.30672148,0.37056276,1.3872159,1.899907,-0.9164086366943458,-0.4002439388573056,-0.12038439923142533,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01342814415693283,-0.3741569258272648,275
13856,2021-04-02,38.585167,0.588667,0.22866,Manta net,Atlantic Ocean,Ocean water,Medium,0.07873593,-0.42851835,0.35146996,-2.228784,0.9999300657962057,-0.011826390691832589,0.8727176644547883,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25940733030438423,-0.02868739888072014,40
13859,2021-06-25,36.896,15.2445,0.014728,Manta net,Atlantic Ocean,Ocean water,Medium,0.059343114,0.24503967,0.26336774,1.2513545,0.11371951458594969,-0.9935128947338007,0.08365850686525528,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.007324442267417908,-0.031128879636526108,86
13860,2021-07-08,36.842167,15.347667,0.206054,Manta net,Atlantic Ocean,Ocean water,Medium,-0.1256152,-0.105065815,-0.57690394,-0.55757004,-0.10944576864891556,-0.993992768446958,0.28771790300373623,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0030518509447574615,0.012207403779029846,86
13865,2021-07-28,38.5025,15.721833,0.626766,Manta net,Atlantic Ocean,Ocean water,Medium,0.06961739,-0.03666554,0.3100441,-0.20415959,-0.4383067230125192,-0.898825465016444,0.7324667792189244,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.021973326802253723,-0.09094515815377235,159
13866,2021-07-28,38.583333,15.773,0.456912,Manta net,Atlantic Ocean,Ocean water,Medium,0.06961739,-0.03666554,0.3100441,-0.20415959,-0.4383067230125192,-0.898825465016444,0.7324667792189244,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.014648884534835815,-0.07812738418579102,148
